Category: All categories

Country,Charlie Chaplin: (2014),David Ayer: (2014)
Morocco,100,0
Uruguay,98,0
Brazil,85,0
France,77,0
Colombia,75,0
Iran,74,0
Ecuador,68,0
Bulgaria,64,0
Switzerland,63,0
Argentina,62,0
Chile,57,0
Norway,57,0
Portugal,54,0
India,52,0
Mexico,52,0
Iraq,51,0
Pakistan,50,0
Peru,48,0
Spain,47,0
Italy,46,0
Belgium,46,0
Bolivia,44,0
United Arab Emirates,43,0
Austria,41,0
Finland,40,0
Denmark,39,0
Sweden,38,0
Romania,37,0
Greece,37,0
Turkey,35,0
United Kingdom,35,0
Ireland,34,0
Germany,33,0
Canada,33,0
Venezuela,31,0
Australia,28,0
Hungary,28,0
Russia,28,0
Philippines,27,0
United States,27,1
Egypt,24,0
South Africa,24,0
Ukraine,24,0
Malaysia,22,0
Netherlands,22,0
Japan,19,0
Saudi Arabia,19,0
Vietnam,17,0
Poland,16,0
Indonesia,14,0
