Category: All categories

Country,Charlie Chaplin: (2015),Brad Bird: (2015)
Uruguay,100,0
Morocco,92,0
Iran,76,0
Pakistan,74,0
Brazil,69,0
Colombia,69,0
Iraq,66,0
Ecuador,64,0
France,58,0
Bulgaria,56,0
Portugal,56,0
Switzerland,54,0
Chile,52,0
Peru,51,0
India,50,0
Argentina,50,0
Norway,48,0
United Arab Emirates,47,0
Kazakhstan,45,0
Mexico,44,0
Italy,43,0
Bolivia,41,0
Denmark,41,0
Austria,40,0
Spain,39,0
Romania,39,0
Sweden,37,0
Belgium,37,0
Greece,36,0
Algeria,34,0
Ireland,33,0
Finland,33,0
United Kingdom,31,0
Turkey,31,0
Canada,30,0
Russia,30,0
Egypt,29,0
Venezuela,29,0
Philippines,28,0
Germany,27,0
Israel,26,0
Hungary,25,0
Australia,25,0
Ukraine,24,0
United States,24,2
Netherlands,22,0
South Africa,21,0
Saudi Arabia,20,0
Japan,20,0
Malaysia,18,0
Poland,18,0
Vietnam,16,0
Indonesia,14,0
