Category: All categories

Country,Charlie Chaplin: (2016),Michael Bay: (2016)
Switzerland,100,0
Morocco,78,0
Uruguay,74,0
Tunisia,72,0
Pakistan,71,0
Colombia,63,0
Iran,61,0
Bangladesh,59,0
Kazakhstan,59,0
France,54,4
Iraq,53,0
India,53,2
Brazil,52,3
Peru,50,0
Argentina,47,0
Chile,47,0
United Arab Emirates,47,0
Ecuador,46,0
Portugal,46,0
Bulgaria,45,0
Mexico,41,4
Serbia,38,0
Italy,38,4
Spain,37,4
Sweden,36,0
Greece,35,0
Algeria,35,0
Romania,32,0
Austria,31,0
Belgium,31,0
Finland,30,0
Philippines,29,0
Denmark,29,0
Ireland,29,0
Turkey,27,0
Russia,27,0
Canada,25,26
United Kingdom,26,9
Egypt,26,0
Venezuela,24,0
Israel,24,0
Australia,23,15
Germany,23,5
Ukraine,22,0
South Africa,22,0
United States,22,15
Saudi Arabia,21,0
Netherlands,21,0
Japan,20,0
Malaysia,17,0
Poland,16,0
Indonesia,14,0
Vietnam,12,0
