Category: All categories

Country,Charlie Chaplin: (2015),Steve Carell: (2015)
Morocco,100,0
Uruguay,96,0
Pakistan,83,0
Iran,82,0
Colombia,76,0
Brazil,75,6
Iraq,65,0
Ecuador,62,0
France,60,8
Bulgaria,59,0
Switzerland,58,0
Argentina,58,9
United Arab Emirates,58,0
Portugal,58,0
India,56,3
Chile,56,0
Norway,54,0
Denmark,53,0
Peru,52,0
Mexico,50,9
Italy,48,6
Bolivia,43,0
Spain,42,7
Algeria,42,0
Romania,42,0
Sweden,42,0
Austria,41,0
Belgium,39,0
Finland,37,0
Greece,36,0
Czech Republic,36,0
Turkey,34,0
Ireland,34,0
United Kingdom,34,18
Canada,33,25
Russia,32,0
Philippines,31,0
Venezuela,31,0
Germany,31,6
United States,27,30
Egypt,29,0
Australia,26,21
Ukraine,26,0
Netherlands,26,0
Israel,25,0
Hungary,25,0
South Africa,23,0
Japan,22,0
Saudi Arabia,22,0
Malaysia,18,0
Poland,18,0
Vietnam,16,0
Indonesia,16,0
